;Titre;Auteur;Série;Année;Vol.;Thém.;LO;Nbre de mots;Traducteur.trice;Version originale;Traduction
0;La science n’est pas floue;Etienne Ghys , Ghislain de Marsily;CRGEOS;2020;352;Facing climate change, the range of possibilities;FR;1892.0;Romain Dziegielinski;https://comptes-rendus.academie-sciences.fr/geoscience/articles/fr/10.5802/crgeos.31/;https://comptes-rendus.academie-sciences.fr/geoscience/articles/en/10.5802/crgeos.31/
1;Réchauffement climatique : état des connaissances scientifiques, enjeux, risques et options d’action;Valérie Masson-Delmotte;CRGEOS;2020;352;Facing climate change, the range of possibilities;FR;9547.0;Romain Dziegielinski;https://comptes-rendus.academie-sciences.fr/geoscience/articles/10.5802/crgeos.29/;https://comptes-rendus.academie-sciences.fr/geoscience/articles/en/10.5802/crgeos.29/
2;Le changement climatique, une chance pour l’humanité;Mireille Delmas-Marty;CRGEOS;2020;352;Facing climate change, the range of possibilities;FR;2308.0;Romain Dziegielinski;https://comptes-rendus.academie-sciences.fr/geoscience/articles/10.5802/crgeos.28/;https://comptes-rendus.academie-sciences.fr/geoscience/articles/en/10.5802/crgeos.28/
3;Changement climatique et éducation;Pierre Léna , David Wilgenbus;CRGEOS;2020;352;Facing climate change, the range of possibilities;FR;6371.0;Romain Dziegielinski;https://comptes-rendus.academie-sciences.fr/geoscience/articles/10.5802/crgeos.26/;https://comptes-rendus.academie-sciences.fr/geoscience/articles/en/10.5802/crgeos.26/
4;« Science des données » versus science physique la technologie des données nous conduit-elle vers une nouvelle synthèse;Venkatramani Balaji;CRGEOS;2020;352;Facing climate change, the range of possibilities;FR;4760.0;Romain Dziegielinski;https://comptes-rendus.academie-sciences.fr/geoscience/articles/10.5802/crgeos.24/;https://comptes-rendus.academie-sciences.fr/geoscience/articles/en/10.5802/crgeos.24/
5;Quelles transformations pour l’atténuation du changement climatique Des trajectoires d’émissions mondiales à la trajectoire française;Céline Guivarch;CRGEOS;2020;352;Facing climate change, the range of possibilities;FR;4176.0;Romain Dziegielinski;https://comptes-rendus.academie-sciences.fr/geoscience/articles/10.5802/crgeos.23/;https://comptes-rendus.academie-sciences.fr/geoscience/articles/en/10.5802/crgeos.23/
6;Le rôle de l’énergie nucléaire dans la lutte contre le réchauffement climatique atouts et faiblesses dans une approche intégrée;Yves Bréchet;CRGEOS;2020;352;Facing climate change, the range of possibilities;FR;4695.0;Romain Dziegielinski;https://comptes-rendus.academie-sciences.fr/geoscience/articles/10.5802/crgeos.21/;https://comptes-rendus.academie-sciences.fr/geoscience/articles/en/10.5802/crgeos.21/
7;Anticiper l’évolution des territoires;Hervé Le Treut;CRGEOS;2020;352;Facing climate change, the range of possibilities;FR;5058.0;Romain Dziegielinski;https://comptes-rendus.academie-sciences.fr/geoscience/articles/10.5802/crgeos.32/;https://comptes-rendus.academie-sciences.fr/geoscience/articles/en/10.5802/crgeos.32/
8;Énergie et climat : défis et innovations;Didier Roux;CRGEOS;2020;352;Facing climate change, the range of possibilities;FR;3658.0;Romain Dziegielinski;https://comptes-rendus.academie-sciences.fr/geoscience/articles/10.5802/crgeos.25/;https://comptes-rendus.academie-sciences.fr/geoscience/articles/en/10.5802/crgeos.25/
9;Changement climatique et biosphère;Isabelle Chuine;CRGEOS;2020;352;Facing climate change, the range of possibilities;FR;5886.0;Romain Dziegielinski;https://comptes-rendus.academie-sciences.fr/geoscience/articles/10.5802/crgeos.22/;https://comptes-rendus.academie-sciences.fr/geoscience/articles/en/10.5802/crgeos.22/
10;Quelles transitions pour l’atténuation du changement climatique ? Transformations globales, enjeux sociétaux, et leçons pour la décision;Henri Waisman;CRGEOS;2020;352;Facing climate change, the range of possibilities;FR;4792.0;Romain Dziegielinski;https://comptes-rendus.academie-sciences.fr/geoscience/articles/fr/10.5802/crgeos.18/;https://comptes-rendus.academie-sciences.fr/geoscience/articles/10.5802/crgeos.18-en/
11;Les villes et le climat : Bâtiments et urbanisme;Vincent Viguié;CRGEOS;2020;352;Facing climate change, the range of possibilities;FR;4453.0;Catherine W.;https://comptes-rendus.academie-sciences.fr/geoscience/articles/10.5802/crgeos.19/;https://comptes-rendus.academie-sciences.fr/geoscience/articles/en/10.5802/crgeos.19/
12;Captage et Stockage du CO2 : le puits de carbone géologique;Isabelle Czernichowski-Lauriol;CRGEOS;2020;352;Facing climate change, the range of possibilities;FR;9591.0;Catherine W.;https://comptes-rendus.academie-sciences.fr/geoscience/articles/10.5802/crgeos.20/;https://comptes-rendus.academie-sciences.fr/geoscience/articles/en/10.5802/crgeos.20/
13;Les batteries sont-elles la bonne option pour un développement durable ?;Jean-Marie Tarascon;CRGEOS;2020;352;Facing climate change, the range of possibilities;FR;5414.0;Catherine W.;https://comptes-rendus.academie-sciences.fr/geoscience/articles/10.5802/crgeos.27/;https://comptes-rendus.academie-sciences.fr/geoscience/articles/en/10.5802/crgeos.27/
